City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,kirensk,57.7853,108.1119,17.89,98,100,1.15,RU,1690297324
180,mwinilunga,-11.7358,24.4293,28.17,18,17,2.66,ZM,1690297325
181,wailua homesteads,22.0669,-159.378,23.24,89,100,0.89,US,1690297325
182,ketchikan,55.3422,-131.6461,14.26,88,100,1.54,US,1690297326
183,hithadhoo,-0.6,73.0833,28.31,78,100,7.61,MV,1690297326
184,ormara,25.2088,64.6357,28.78,85,96,3.67,PK,1690297326
185,lu-uk,5.9684,121.3122,27.17,86,58,4.08,PH,1690297327
186,mirny,62.5353,113.9611,16.54,83,100,1.27,RU,1690297327
187,sisimiut,66.9395,-53.6735,7.52,78,41,6.33,GL,1690297327
188,nuuk,64.1835,-51.7216,13.34,44,20,3.09,GL,1690297328
189,tughyl,47.7252,84.2063,23.26,50,87,2.85,KZ,1690297328
190,kiffa,16.6166,-11.4045,38.35,32,38,0.87,MR,1690297328
191,tinaan,11.2667,123.75,28.6,76,100,11.49,PH,1690297328
192,lebu,-37.6167,-73.65,10.97,82,92,6.02,CL,1690297329
193,badger,64.8,-147.5333,19.89,88,75,0.0,US,1690297205
194,vryburg,-26.9566,24.7284,24.38,18,92,4.72,ZA,1690297329
195,tutoia,-2.7619,-42.2744,31.03,50,29,3.57,BR,1690297283
196,college,64.8569,-147.8028,19.94,84,75,0.0,US,1690297202
197,al kharijah,25.4514,30.5464,41.0,9,9,6.38,EG,1690297330
198,la passe,45.5549,-0.8967,23.13,56,11,7.94,FR,1690297331
199,cidreira,-30.1811,-50.2056,17.61,93,90,3.24,BR,1690297332
200,jijel,36.8205,5.7667,30.97,62,40,4.63,DZ,1690297337
201,gazli,40.1333,63.45,39.75,9,0,5.19,UZ,1690297337
202,necochea,-38.5473,-58.7368,8.81,73,100,5.68,AR,1690297211
203,athens,37.9795,23.7162,38.49,37,0,4.12,GR,1690297213
204,newport,51.5877,-2.9984,20.25,68,98,4.5,GB,1690297339
205,port hueneme,34.1478,-119.1951,29.18,91,40,1.54,US,1690297277
206,ponta delgada,37.7333,-25.6667,24.4,73,40,6.17,PT,1690297339
207,pisco,-13.7,-76.2167,19.45,77,100,2.06,PE,1690297340
208,birobidzhan,48.8,132.95,18.92,92,70,1.69,RU,1690297340
209,sainte-marie,-20.8968,55.5496,24.09,89,0,4.12,RE,1690297118
210,shache,38.4167,77.2406,30.9,29,90,3.9,CN,1690297341
211,nizhniy odes,63.6445,54.856,19.6,57,20,1.39,RU,1690297341
212,moju,-1.8839,-48.7689,34.97,35,72,1.22,BR,1690297341
213,kerikeri,-35.2268,173.9474,11.06,83,6,1.79,NZ,1690297342
214,zhuanghe,39.7008,122.9911,23.03,97,100,1.5,CN,1690297342
215,uren',57.4552,45.7852,18.77,86,7,1.73,RU,1690297342
216,lazaro cardenas,17.9583,-102.2,26.88,82,100,2.1,MX,1690297343
217,freetown,8.484,-13.2299,26.84,83,75,5.14,SL,1690297343
218,kirakira,-10.4544,161.9205,25.5,89,91,3.79,SB,1690297343
219,nacala,-14.5428,40.6728,24.09,68,11,6.48,MZ,1690297344
220,obihiro,42.9172,143.2044,22.86,91,26,2.4,JP,1690297294
221,bangkalan,-7.0455,112.7351,26.97,76,100,3.1,ID,1690297344
222,bichura,50.5881,107.6022,15.53,89,47,0.49,RU,1690297345
223,fort st. john,56.2499,-120.8529,10.94,100,100,2.06,CA,1690297257
224,mahibadhoo,3.7833,72.9667,28.58,76,69,3.49,MV,1690297345
225,coquimbo,-29.9533,-71.3436,14.85,77,0,1.54,CL,1690297243
226,pangai,-19.8,-174.35,21.93,69,85,5.07,TO,1690297346
227,yuzhno-kurilsk,44.0306,145.8556,18.13,99,5,1.24,RU,1690297346
228,el nido,11.1858,119.3956,28.12,81,100,9.97,PH,1690297346
229,mount isa,-20.7333,139.5,14.87,63,2,4.12,AU,1690297347
230,bikenibeu village,1.3673,173.1241,25.98,94,40,1.03,KI,1690297347
231,chingirlau,51.095,54.0814,20.61,82,100,4.27,KZ,1690297347
232,sompeta,18.9333,84.6,28.55,83,97,7.67,IN,1690297348
233,tomatlan,19.9333,-105.25,26.34,86,100,1.04,MX,1690297348
234,polyarnyy,69.1989,33.4478,11.03,91,100,2.89,RU,1690297348
235,bengkulu,-3.8004,102.2655,24.85,87,5,1.97,ID,1690297349
236,remire-montjoly,4.9167,-52.2667,30.02,70,100,1.54,GF,1690297349
237,hami,42.8,93.45,32.64,10,0,6.69,CN,1690297349
238,mana,5.6592,-53.7767,30.04,64,76,3.38,GF,1690297350
239,jayapura,-2.5333,140.7,25.66,91,100,3.32,ID,1690297350
240,nar'yan-mar,67.6713,53.087,19.87,63,100,3.51,RU,1690297350
241,puerto baquerizo moreno,-0.9,-89.6,25.55,83,20,5.66,EC,1690297351
242,zhongshu,24.5167,103.7667,20.91,79,100,0.98,CN,1690297351
243,kraljevo,43.7258,20.6894,31.0,66,20,1.03,RS,1690297352
244,lorengau,-2.0226,147.2712,25.73,90,100,6.36,PG,1690297352
245,kristiansund,63.1115,7.732,18.03,77,75,6.17,NO,1690297353
246,vernon,50.2581,-119.2691,14.61,82,100,4.63,CA,1690297221
247,ola,59.5833,151.2833,15.08,91,15,0.79,RU,1690297353
248,yarmouth,41.7057,-70.2286,29.42,69,0,4.12,US,1690297354
249,marsh harbour,26.5412,-77.0636,29.64,69,100,2.94,BS,1690297355
250,chifeng,42.2683,118.9636,24.25,63,0,2.65,CN,1690297356
251,arraial do cabo,-22.9661,-42.0278,25.92,61,0,8.75,BR,1690297357
252,bridgewater,44.3835,-64.5155,27.28,67,54,2.57,CA,1690297357
253,duong dong,10.2167,103.9667,27.0,94,40,3.09,VN,1690297358
254,odiongan,12.4017,121.9919,27.72,86,100,13.84,PH,1690297359
255,panyutyne,48.9333,36.2833,29.8,30,10,3.94,UA,1690297359
256,kavieng,-2.5744,150.7967,24.66,93,100,1.3,PG,1690297360
257,saldanha,-33.0117,17.9442,21.03,74,0,5.6,ZA,1690297360
258,opole,50.5,18.0,21.13,60,100,3.38,PL,1690297149
259,san clemente,33.427,-117.612,29.75,94,0,2.43,US,1690297235
260,groningen,53.25,6.75,19.46,61,75,6.17,NL,1690297361
261,zharkent,44.1628,80.0,29.74,15,61,2.0,KZ,1690297362
262,shenjiamen,29.9576,122.298,26.06,93,79,5.16,CN,1690297362
263,sola,-13.8833,167.55,24.85,86,98,13.1,VU,1690297362
264,gaigeturi,33.4644,126.3183,27.03,83,75,1.54,KR,1690297363
265,kuanda,56.3161,116.0806,18.7,72,54,1.34,RU,1690297363
266,salahonda,2.1019,-78.7217,27.13,81,98,4.5,CO,1690297363
267,kyabe,9.4515,18.9449,30.16,62,100,1.61,TD,1690297364
268,vila franca do campo,37.7167,-25.4333,24.23,72,56,0.59,PT,1690297364
269,st. john's,47.5649,-52.7093,27.38,70,75,6.69,CA,1690297364
270,ghanzi,-21.5667,21.7833,26.64,10,77,5.91,BW,1690297365
271,saint-felicien,48.6501,-72.4491,21.38,73,75,4.63,CA,1690297365
272,san luis de la loma,17.2706,-100.8939,30.17,63,71,0.08,MX,1690297365
273,nagqu,31.5,92.0,5.05,92,34,2.1,CN,1690297366
274,kiruna,67.8557,20.2251,13.51,77,75,2.06,SE,1690297366
275,igarka,67.4667,86.5833,20.44,67,6,3.89,RU,1690297366
276,suva,-18.1416,178.4415,22.71,78,75,1.03,FJ,1690297329
277,east london,-33.0153,27.9116,18.52,59,0,3.6,ZA,1690297367
278,porangatu,-13.4408,-49.1486,32.48,23,22,2.84,BR,1690297367
279,saint-philippe,-21.3585,55.7679,23.77,84,38,1.03,RE,1690297368
280,sao joao da barra,-21.6403,-41.0511,26.05,78,20,4.48,BR,1690297368
281,yoshkar-ola,56.6388,47.8908,19.54,87,47,3.19,RU,1690297368
282,payyannur,12.1,75.2,25.0,84,100,1.15,IN,1690297368
283,micheweni,-4.9667,39.8333,25.11,74,8,7.0,TZ,1690297369
284,tucuma,-0.1833,-50.05,31.49,53,57,1.86,BR,1690297369
285,gadzhiyevo,69.2551,33.3362,10.37,93,100,2.86,RU,1690297369
286,holualoa,19.6228,-155.9522,24.37,84,31,1.79,US,1690297370
287,north bend,43.4065,-124.2243,17.91,94,100,2.57,US,1690297302
288,novyy urengoy,66.0833,76.6333,23.55,57,100,5.64,RU,1690297370
289,slavyanka,42.8633,131.3847,20.83,91,30,1.67,RU,1690297370
290,la ronge,55.1001,-105.2842,20.14,64,75,6.69,CA,1690297371
291,sao desiderio,-12.3633,-44.9733,31.45,23,0,2.32,BR,1690297371
292,carnarvon,-24.8667,113.6333,18.3,72,100,9.68,AU,1690297371
293,happy valley-goose bay,53.3168,-60.3315,18.17,77,75,3.09,CA,1690297372
294,prince rupert,54.3161,-130.3201,12.83,100,100,2.57,CA,1690297372
295,touros,-5.1989,-35.4608,29.24,56,78,8.48,BR,1690297373
296,xique xique,-10.8217,-42.7311,28.49,37,2,4.09,BR,1690297373
297,callao,-12.0667,-77.15,22.62,77,100,3.09,PE,1690297247
298,timbo,-26.8233,-49.2717,25.32,75,36,0.28,BR,1690297376
299,pezenas,43.4595,3.4238,27.69,36,88,11.32,FR,1690297376
300,meizhou,24.2977,116.1072,26.74,86,100,1.03,CN,1690297377
301,mar del plata,-38.0023,-57.5575,12.19,79,100,6.71,AR,1690297196
302,hun,29.1268,15.9477,43.23,7,0,6.19,LY,1690297379
303,weligama,5.9667,80.4167,26.11,85,100,3.64,LK,1690297380
304,usinsk,65.9939,57.5281,22.34,56,98,2.8,RU,1690297380
305,newman,37.3138,-121.0208,22.8,57,0,1.34,US,1690297260
306,haiku-pauwela,20.9219,-156.3051,24.03,77,0,6.17,US,1690297382
307,estreito,-5.7833,-43.25,33.79,29,10,3.08,BR,1690297383
308,anadyr,64.75,177.4833,10.28,81,40,3.0,RU,1690297383
309,jolo,6.05,121.0167,26.01,92,81,2.74,PH,1690297389
310,smidovich,48.6,133.8167,19.65,94,69,3.08,RU,1690297389
311,sukhinichi,54.0999,35.3425,18.87,90,100,2.81,RU,1690297390
312,codrington,-38.2667,141.9667,7.12,92,93,3.62,AU,1690297390
313,kochenevo,55.0218,82.202,21.66,72,97,4.21,RU,1690297390
314,gamba,-2.65,10.0,24.22,74,89,4.61,GA,1690297391
315,roslavl',53.9528,32.8639,19.24,92,100,2.05,RU,1690297391
316,ebon,4.582,168.6964,28.29,76,32,2.51,MH,1690297392
317,kavaratti,10.5669,72.642,27.97,77,100,5.47,IN,1690297392
318,benghazi,32.1167,20.0667,29.76,70,0,4.7,LY,1690297225
319,north battleford,52.7834,-108.2847,21.89,88,0,7.2,CA,1690297259
320,ulladulla,-35.35,150.4667,8.97,90,1,2.08,AU,1690297393
321,bandarbeyla,9.4942,50.8122,24.32,78,1,16.18,SO,1690297394
322,warman,52.3168,-106.5679,25.05,88,75,4.12,CA,1690297394
323,mogadishu,2.0371,45.3438,27.93,78,40,8.75,SO,1690297394
324,mazamari,-11.3258,-74.5308,28.48,49,9,1.0,PE,1690297395
325,chernyshevskiy,63.0128,112.4714,15.1,91,98,1.21,RU,1690297395
326,flagstaff,35.1981,-111.6513,24.21,40,0,1.54,US,1690297395
327,al jawf,29.5,38.75,38.7,10,0,4.19,SA,1690297396
328,galle,6.0367,80.217,26.59,85,98,3.53,LK,1690297396
329,leninskoye,41.7589,69.3864,34.58,12,0,5.12,KZ,1690297396
330,fortuna,40.5982,-124.1573,16.19,96,100,0.0,US,1690297397
331,palmer,42.1584,-72.3287,28.51,62,40,2.57,US,1690297397
332,bhadrapur,26.544,88.0944,27.59,82,92,1.33,NP,1690297397
333,beaconsfield,45.4334,-73.8659,25.97,79,75,3.09,CA,1690297398
334,kill devil hills,36.0307,-75.676,28.88,78,100,2.06,US,1690297398
335,salida,37.7058,-121.0849,24.52,56,0,2.06,US,1690297337
336,broken arrow,36.0526,-95.7908,30.52,57,0,4.12,US,1690297244
337,basco,20.4487,121.9702,28.4,87,100,27.27,PH,1690297399
338,biasca,46.3597,8.9697,26.89,72,81,0.45,CH,1690297399
339,jiazi,22.8779,116.067,28.35,78,71,1.16,CN,1690297400
340,porto novo,6.4965,2.6036,27.9,64,55,5.5,BJ,1690297234
341,ierapetra,35.01,25.7353,35.64,21,0,9.39,GR,1690297401
342,morondava,-20.2833,44.2833,23.04,74,1,8.48,MG,1690297402
343,zaozersk,69.4005,32.4476,9.67,96,100,2.34,RU,1690297403
344,lata,40.1629,-8.3327,28.05,43,0,5.83,PT,1690297403
345,kailua-kona,19.6406,-155.9956,26.44,84,0,2.06,US,1690297404
346,tazacorte,28.629,-17.9293,26.54,74,75,5.14,ES,1690297404
347,pacific grove,36.6177,-121.9166,16.61,96,100,4.47,US,1690297405
348,bealanana,-14.55,48.7333,16.99,71,92,1.75,MG,1690297405
349,kamba,11.8486,3.6576,35.11,42,29,1.13,NG,1690297405
350,howrah,22.5892,88.3103,27.0,94,75,2.06,IN,1690297294
351,sinjai,-5.1241,120.253,23.95,86,62,1.24,ID,1690297406
352,mount gambier,-37.8333,140.7667,6.42,96,32,2.35,AU,1690297407
353,raton,36.9034,-104.4391,27.19,53,0,4.12,US,1690297354
354,hashtpar,37.8008,48.9037,26.73,73,42,2.09,IR,1690297408
355,georgetown,5.4112,100.3354,28.97,82,20,1.03,MY,1690297369
356,port saint john's,-31.6229,29.5448,18.76,66,100,5.73,ZA,1690297409
357,shingu,33.7333,135.9833,24.8,92,5,1.81,JP,1690297409
358,keflavik,64.0049,-22.5624,14.24,72,75,3.6,IS,1690297409
359,portland,45.5234,-122.6762,18.38,77,96,1.34,US,1690297208
360,sinabang,2.4803,96.3801,26.9,82,55,1.94,ID,1690297410
361,yazihan,38.5947,38.18,34.15,24,20,2.73,TR,1690297410
362,cheremshan,54.6667,51.5,25.04,44,57,1.0,RU,1690297411
363,murashi,59.3999,48.9615,16.42,86,80,2.37,RU,1690297411
